Адриановский переулок, Мещанской части.
Ивановский Малый переулок, Мясницкой части.

Ивановский переулок, Якиманской части.

Иверский переулок, Пятницкой части.

Известковый переулок, Рогожской части.

Ильинка улица, Городской части.

Ильинский 1-й переулок, Пречистенской части.

Ильинский 2-й переулок, Пречистенской части.

Ильинский переулок, Пресненскон части.

Инструментальный переулок, Лефортовской части.

Ипатьевский переулок, Городской части.

Ирининская Большая улица, Ирининская Малая улица, Лефортовской части.

Ирининский переулок, Лефортовской части.

Истерийский (Австерийский) переулок, Городской части.

К
Кадашевский Большой переулок, Якиманской части.

Кадашевский Средний переулок, Якиманской части.

Кадашевский Малый Переулок, Якиманской части.

Казанский переулок, Якиманской части.

Казарменная улица, Яузской части.

Казенный Большой переулок и Казенный Малый переулок, Яузской части.

Каковинский Большой переулок и Каковинский Малый переулок, Арбатской части.

Каланчевский переулок, Мещанской части.

Каланчевский тупой переулок, Басманной части.

Каланчевский переулок, Басманной части.

Калашный переулок, Тверской части.

Калошин переулок, Пречистенской части.

Калпашный переулок, Мясницкой части.

Калужская улица, Серпуховской части.

Калужский переулок, Серпуховской части.

Каменщики Большие улица, Рогожской части.

Каменщики Малые улица, Рогожской части.

Камергерский переулок, Тверской части.

Каретный ряд улица, Сретенской части.

Карунинская площадь, Городской части.

Кирочный переулок, Лефортовской части.

Кирочный переулок, Басманной части.

Кисельный Большой переулок, Мясницкой части.

Кисельный Нижний переулок, Мясницкой части.

Кисельный Малый переулок, Мясницкой части.

Кисловский Большой переулок, Тверской части.

Кисловский Малый переулок, Тверской части.

Кисловский Средний переулок, Тверской части.

Кисловский Последний переулок, Тверской части.

Кладбищенский переулок, Лефортовской части.

Кладбищенский переулок, Сущевской части.

Климентовский переулок, Пятницкой части.

Княжевской, Князевский, Княжин переулок, Лефортовской части.

Кожевническая улица, Серпуховской части.

Кожевнический вражек, переулок, Серпуховской части.

Козихинский Большой переулок, Арбатской части.

Козихинский Малый переулок, Арбатской части.

Козицкий переулок, Тверской части.

Козловский, Козлов, Козий переулок, Яузской части.

Кологривский переулок, Серпуховской части.

Колодезная улица, Лефортовской части.

Колокольников переулок, Басманной части.

Колокольников переулок, Сретенской части.

Коломенская Ямская улица, Серпуховской части.

Колосов переулок, Сретенской части.

Конюшки Большие переулок, Пресненской части.

Конюшки Малые переулок, Пресненской части.

Коптельский 1-й переулок, Мещанской части.

Коптельский 2-й переулок, Мещанской части.

Коровий 1-й переулок, Серпуховской части.

Коровий 2-й переулок, Серпуховской части.

Коровий 3-й переулок, Серпуховской части.

Коровий 4-й переулок, Серпуховской части.

Коровий вал, Серпуховской части.

Коровий брод, переулок, Лефортовской части.

Kосмодамианской переулок, Пятницкой части.

Kосмодамианской переулок, Тверской части.

Kосмодамианской переулок, Мясницкой части.

Kосмодамианской переулок, Городской части.

Kосмодамианской Старый переулок, Яузской части.

Kосмодамианской Новый переулок, Яузской части.

Косой переулок, Сущевской части.

Котельнический переулок, Яузской части.

Кочки Большой переулок, Хамовнической части.

Кочки, Кочковская слобода переулок, Хамовнической части.

Крапивинский переулок, Тверской части.

Красная площадь, Городской части.

Красноказармская улица, Лефортовской части.

Краснопрудская улица, Мещанской части.

Красносельская улица, Мещанской части.

Красносельская Малая улица, Мещанской части.

Красносельский переулок, Мещанской части.

Краснохолмская улица, Яузской части.

Крестовоздвиженский переулок, Тверской части.

Кречетниковский переулок, Арбатской части.

Кривой переулок, Городской части.

Кривое Колено переулок, Мясницкой части.

Кривой переулок, Серпуховской части.

Кривой переулок, Пресненской части.

Кривой Введенский переулок, Пресненской части.

Кривой переулок, Пречистенской части.

Кривой переулок, Яузской части.

Кривой переулок, Хамовнической части.

Кривой Никольский переулок, Арбатской части.

Крутицкая улица, Рогожской части.

Крутицкий 1-й переулок, Рогожской части.

Крутицкий 2-й переулок, Рогожской части.

Крутицкий 3-й переулок, Рогожской части.

Крымская улица, Серпуховской части.

Кудринская улица, Пресненской части.

Кудринский переулок, Пресненской части.

Кузнецкая Большая улица, Пятницкой части.

Кузнецкий переулок, Пятницкой части.

Кузнецкий мост, Кузнецкая улица, Мясницкой части.

Кузнецкий переулок, Тверской части.

Кузнечный переулок, Лефортовской части.

Кузнечный переулок, Пресненской части.

Курбатовский переулок, Пресненской части.

Кургановский переулок, Сущевской части.

Курбатов переулок, Пятницкой части.

Курносов переулок, Яузской части.

Л
